"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"9/9/17","Castle On The Hill","ed sheeran",6,"Pop","0.834","135.007","0.461",2017,48,"0.471","1 - 10"
"9/9/17","Drowning","a boogie wit da hoodie",38,"Rap","0.81","129.014","0.839",2017,46,"0.814","26-50"
"9/9/17","Now Or Never","halsey",17,"Rock","0.588","110.075","0.658",2017,40,"0.434","11 - 25"
"9/9/17","Everyday We Lit","yfn lucci",33,"Rap","0.646","155.955","0.758",2017,43,"0.589","26-50"
"9/9/17","You Look Good","lady antebellum",59,"Country","0.911","152.043","0.653",2017,62,"0.942","51-75"
"9/9/17","Flatliner","cole swindell",56,"Country","0.896","114.995","0.555",2017,88,"0.578","51-75"
"9/9/17","Privacy","chris brown",62,"R&B","0.58","97.092","0.741",2017,97,"0.428","51-75"
"9/9/17","4:00 AM","2 chainz",55,"Rap","0.513","75.018","0.796",2017,95,"0.235","51-75"
"9/9/17","2U","david guetta",16,"EDM","0.654","144.971","0.542",2017,73,"0.563","11 - 25"
"9/9/17","Honest","the chainsmokers",77,"EDM","0.514","100.035","0.673",2017,81,"0.312","76-100"
"9/9/17","For Her","chris lane",92,"Country","0.904","150.004","0.51",2017,92,"0.545","76-100"
"9/9/17","Perplexing Pegasus","rae sremmurd",84,"Rap","0.448","145.971","0.897",2017,91,"0.316","76-100"
"9/9/17","Patty Cake","kodak black",76,"Rap","0.77","152.094","0.806",2017,93,"0.406","76-100"
"9/9/17","Know No Better","major lazer",87,"EDM","0.814","119.041","0.738",2017,99,"0.483","76-100"
"9/9/17","Untouchable","youngboy never broke again",95,"Rap","0.784","85.023","0.78",2017,96,"0.43","76-100"
"9/9/17","Younger Now","miley cyrus",79,"Pop","0.781","139.934","0.573",2017,79,"0.343","76-100"
"9/9/17","Its Every Night Sis","ricegum",80,"Rap","0.784","98.984","0.887",2017,80,"0.408","76-100"
"9/30/17","Magnolia","playboi carti",29,"Rap","0.586","163.029","0.791",2017,63,"0.413","26-50"
"9/30/17","Versace On The Floor","bruno mars",33,"Pop","0.574","174.152","0.578",2017,83,"0.301","26-50"
"9/30/17","Swish Swish","katy perry",46,"Pop","0.705","119.949","0.836",2017,92,"0.553","26-50"
"9/30/17","444+222","lil uzi vert",60,"Rap","0.513","76.997","0.791",2017,100,"0.481","51-75"
"9/30/17","Found You","kane brown",80,"Country","0.821","164.144","0.46",2017,80,"0.438","76-100"
"9/23/17","My Girl","dylan scott",39,"Country","0.719","94.969","0.652",2017,87,"0.24","26-50"
"9/23/17","Reminder","the weeknd",31,"R&B","0.495","160.091","0.71",2017,99,"0.396","26-50"
"9/23/17","Most Girls","hailee steinfeld",58,"Pop","0.588","102.974","0.76",2017,88,"0.384","51-75"
"9/23/17","Somebody Else Will","justin moore",59,"Country","0.757","180.077","0.478",2017,98,"0.623","51-75"
"9/23/17","Dark Queen","lil uzi vert",91,"Rap","0.606","155.055","0.747",2017,91,"0.2","76-100"
"9/23/17","X","lil uzi vert",81,"Rap","0.58","163.159","0.623",2017,93,"0.301","76-100"
